team,player,position,club
Bosnia and Herzegovina,Nikola Vasilj,Goalkeeper,FC St. Pauli
Bosnia and Herzegovina,Nihad Mujakić,Defender,Gaziantep
Bosnia and Herzegovina,Dennis Hadžikadunić,Defender,Sampdoria
Bosnia and Herzegovina,Tarik Muharemović,Defender,Sassuolo
Bosnia and Herzegovina,Sead Kolašinac,Defender,Atalanta
Bosnia and Herzegovina,Benjamin Tahirović,Midfielder,Brøndby
Bosnia and Herzegovina,Amar Dedić,Defender,Benfica
Bosnia and Herzegovina,Armin Gigović,Midfielder,Young Boys
Bosnia and Herzegovina,Samed Baždar,Forward,Jagiellonia Białystok
Bosnia and Herzegovina,Ermedin Demirović,Forward,VfB Stuttgart
Bosnia and Herzegovina,Edin Džeko,Forward,Schalke 04
Bosnia and Herzegovina,Mladen Jurkas,Goalkeeper,Borac Banja Luka
Bosnia and Herzegovina,Ivan Bašić,Midfielder,Astana
Bosnia and Herzegovina,Ivan Šunjić,Midfielder,Pafos
Bosnia and Herzegovina,Amar Memić,Midfielder,Viktoria Plzeň
Bosnia and Herzegovina,Amir Hadžiahmetović,Midfielder,Hull City
Bosnia and Herzegovina,Dženis Burnić,Midfielder,Karlsruher SC
Bosnia and Herzegovina,Nikola Katić,Defender,Schalke 04
Bosnia and Herzegovina,Kerim Alajbegović,Forward,Red Bull Salzburg
Bosnia and Herzegovina,Esmir Bajraktarević,Forward,PSV Eindhoven
Bosnia and Herzegovina,Stjepan Radeljić,Defender,Rijeka
Bosnia and Herzegovina,Martin Zlomislić,Goalkeeper,Rijeka
Bosnia and Herzegovina,Haris Tabaković,Forward,Borussia Mönchengladbach
Bosnia and Herzegovina,Nidal Čelik,Defender,Lens
Bosnia and Herzegovina,Jovo Lukić,Forward,Universitatea Cluj
Bosnia and Herzegovina,Ermin Mahmić,Midfielder,Slovan Liberec
Canada,Dayne St. Clair,Goalkeeper,Inter Miami CF
Canada,Alistair Johnston,Defender,Celtic
Canada,Alfie Jones,Defender,Middlesbrough
Canada,Luc de Fougerolles,Defender,Dender
Canada,Joel Waterman,Defender,Chicago Fire FC
Canada,Mathieu Choinière,Midfielder,Los Angeles FC
Canada,Stephen Eustáquio,Midfielder,Los Angeles FC
Canada,Ismaël Koné,Midfielder,Sassuolo
Canada,Cyle Larin,Forward,Southampton
Canada,Jonathan David,Forward,Juventus
Canada,Liam Millar,Midfielder,Hull City
Canada,Tani Oluwaseyi,Forward,Villarreal
Canada,Derek Cornelius,Defender,Rangers
Canada,Jacob Shaffelburg,Midfielder,Los Angeles FC
Canada,Moïse Bombito,Defender,Nice
Canada,Maxime Crépeau,Goalkeeper,Orlando City SC
Canada,Tajon Buchanan,Forward,Villarreal
Canada,Owen Goodman,Goalkeeper,Barnsley
Canada,Alphonso Davies,Defender,Bayern Munich
Canada,Ali Ahmed,Forward,Norwich City
Canada,Jonathan Osorio,Midfielder,Toronto FC
Canada,Richie Laryea,Defender,Toronto FC
Canada,Niko Sigur,Defender,Hajduk Split
Canada,Promise David,Forward,Union Saint-Gilloise
Canada,Nathan Saliba,Midfielder,Anderlecht
Czechia,Matěj Kovář,Goalkeeper,PSV Eindhoven
Czechia,David Zima,Defender,Slavia Prague
Czechia,Tomáš Holeš,Defender,Slavia Prague
Czechia,Robin Hranáč,Defender,TSG Hoffenheim
Czechia,Vladimír Coufal,Defender,TSG Hoffenheim
Czechia,Štěpán Chaloupek,Defender,Slavia Prague
Czechia,Ladislav Krejčí,Defender,Wolverhampton Wanderers
Czechia,Vladimír Darida,Midfielder,Hradec Králové
Czechia,Adam Hložek,Forward,TSG Hoffenheim
Czechia,Patrik Schick,Forward,Bayer Leverkusen
Czechia,Jan Kuchta,Forward,Sparta Prague
Czechia,Lukáš Červ,Midfielder,Viktoria Plzeň
Czechia,Mojmír Chytil,Forward,Slavia Prague
Czechia,David Jurásek,Defender,Slavia Prague
Czechia,Pavel Šulc,Forward,Lyon
Czechia,Jindřich Staněk,Goalkeeper,Slavia Prague
Czechia,Lukáš Provod,Midfielder,Slavia Prague
Czechia,Michal Sadílek,Midfielder,Slavia Prague
Czechia,Tomáš Chorý,Forward,Slavia Prague
Czechia,Jaroslav Zelený,Defender,Sparta Prague
Czechia,David Douděra,Defender,Slavia Prague
Czechia,Tomáš Souček,Midfielder,West Ham United
Czechia,Lukáš Horníček,Goalkeeper,Braga
Czechia,Alexandr Sojka,Midfielder,Viktoria Plzeň
Czechia,Hugo Sochůrek,Midfielder,Sparta Prague
Czechia,Denis Višinský,Forward,Viktoria Plzeň
Mexico,Raúl Rangel,Goalkeeper,Guadalajara
Mexico,Jorge Sánchez,Defender,PAOK
Mexico,César Montes,Defender,Lokomotiv Moscow
Mexico,Edson Álvarez,Defender,Fenerbahçe
Mexico,Johan Vásquez,Defender,Genoa
Mexico,Érik Lira,Midfielder,Cruz Azul
Mexico,Luis Romo,Midfielder,Guadalajara
Mexico,Álvaro Fidalgo,Midfielder,Real Betis
Mexico,Raúl Jiménez,Forward,Fulham
Mexico,Alexis Vega,Forward,Toluca
Mexico,Santiago Giménez,Forward,Milan
Mexico,Carlos Acevedo,Goalkeeper,Santos Laguna
Mexico,Guillermo Ochoa,Goalkeeper,AEL Limassol
Mexico,Armando González,Forward,Guadalajara
Mexico,Israel Reyes,Defender,América
Mexico,Julián Quiñones,Forward,Al-Qadsiah
Mexico,Orbelín Pineda,Midfielder,AEK Athens
Mexico,Obed Vargas,Midfielder,Atlético Madrid
Mexico,Gilberto Mora,Midfielder,Tijuana
Mexico,Mateo Chávez,Defender,AZ
Mexico,César Huerta,Forward,Anderlecht
Mexico,Guillermo Martínez,Forward,Pumas
Mexico,Jesús Gallardo,Defender,Toluca
Mexico,Luis Chávez,Midfielder,Dynamo Moscow
Mexico,Roberto Alvarado,Forward,Guadalajara
Mexico,Brian Gutiérrez,Midfielder,Guadalajara
Qatar,Mahmud Abunada,Goalkeeper,Al-Rayyan
Qatar,Pedro Miguel,Defender,Al-Sadd
Qatar,Lucas Mendes,Defender,Al-Wakrah
Qatar,Issa Laye,Defender,Al-Arabi
Qatar,Jassem Gaber,Defender,Al-Rayyan
Qatar,Abdulaziz Hatem,Midfielder,Al-Rayyan
Qatar,Ahmed Alaaeldin,Forward,Al-Rayyan
Qatar,Edmilson Junior,Forward,Al-Duhail
Qatar,Mohammed Muntari,Forward,Al-Gharafa
Qatar,Hassan Al-Haydos,Forward,Al-Sadd
Qatar,Akram Afif,Forward,Al-Sadd
Qatar,Karim Boudiaf,Midfielder,Al-Duhail
Qatar,Ayoub Al-Oui,Defender,Al-Gharafa
Qatar,Homam Ahmed,Defender,Cultural Leonesa
Qatar,Yusuf Abdurisag,Forward,Al-Wakrah
Qatar,Boualem Khoukhi,Defender,Al-Sadd
Qatar,Ahmed Al-Ganehi,Midfielder,Al-Gharafa
Qatar,Sultan Al-Brake,Defender,Al-Duhail
Qatar,Almoez Ali,Forward,Al-Duhail
Qatar,Ahmed Fathy,Midfielder,Al-Arabi
Qatar,Salah Zakaria,Goalkeeper,Al-Duhail
Qatar,Meshaal Barsham,Goalkeeper,Al-Sadd
Qatar,Assim Madibo,Midfielder,Al-Wakrah
Qatar,Tahsin Jamshid,Forward,Al-Duhail
Qatar,Al-Hashmi Al-Hussain,Defender,Al-Arabi
Qatar,Mohamed Manai,Forward,Al-Shamal
South Africa,Ronwen Williams,Goalkeeper,Mamelodi Sundowns
South Africa,Thabang Matuludi,Defender,Polokwane City
South Africa,Khulumani Ndamane,Defender,Mamelodi Sundowns
South Africa,Teboho Mokoena,Midfielder,Mamelodi Sundowns
South Africa,Thalente Mbatha,Midfielder,Orlando Pirates
South Africa,Aubrey Modiba,Defender,Mamelodi Sundowns
South Africa,Oswin Appollis,Forward,Orlando Pirates
South Africa,Tshepang Moremi,Forward,Orlando Pirates
South Africa,Lyle Foster,Forward,Burnley
South Africa,Relebohile Mofokeng,Forward,Orlando Pirates
South Africa,Themba Zwane,Midfielder,Mamelodi Sundowns
South Africa,Thapelo Maseko,Forward,AEL Limassol
South Africa,Sphephelo Sithole,Midfielder,Tondela
South Africa,Mbekezeli Mbokazi,Defender,Chicago Fire FC
South Africa,Iqraam Rayners,Forward,Mamelodi Sundowns
South Africa,Sipho Chaine,Goalkeeper,Orlando Pirates
South Africa,Evidence Makgopa,Forward,Orlando Pirates
South Africa,Samukele Kabini,Defender,Molde
South Africa,Nkosinathi Sibisi,Defender,Orlando Pirates
South Africa,Khuliso Mudau,Defender,Mamelodi Sundowns
South Africa,Ime Okon,Defender,Hannover 96
South Africa,Ricardo Goss,Goalkeeper,Siwelele
South Africa,Jayden Adams,Midfielder,Mamelodi Sundowns
South Africa,Olwethu Makhanya,Defender,Philadelphia Union
South Africa,Kamogelo Sebelebele,Forward,Orlando Pirates
South Africa,Bradley Cross,Defender,Kaizer Chiefs
South Korea,Kim Seung-gyu,Goalkeeper,FC Tokyo
South Korea,Lee Han-beom,Defender,Midtjylland
South Korea,Lee Gi-hyuk,Midfielder,Gangwon FC
South Korea,Kim Min-jae,Defender,Bayern Munich
South Korea,Kim Tae-hyeon,Defender,Kashima Antlers
South Korea,Hwang In-beom,Midfielder,Feyenoord
South Korea,Son Heung-min,Forward,Los Angeles FC
South Korea,Paik Seung-ho,Midfielder,Birmingham City
South Korea,Cho Gue-sung,Forward,Midtjylland
South Korea,Lee Jae-sung,Midfielder,Mainz 05
South Korea,Hwang Hee-chan,Midfielder,Wolverhampton Wanderers
South Korea,Song Bum-keun,Goalkeeper,Jeonbuk Hyundai Motors
South Korea,Lee Tae-seok,Defender,Austria Wien
South Korea,Cho Wi-je,Defender,Jeonbuk Hyundai Motors
South Korea,Kim Moon-hwan,Defender,Daejeon Hana Citizen
South Korea,Park Jin-seob,Defender,Zhejiang
South Korea,Bae Jun-ho,Midfielder,Stoke City
South Korea,Oh Hyeon-gyu,Forward,Beşiktaş
South Korea,Lee Kang-in,Midfielder,Paris Saint-Germain
South Korea,Yang Hyun-jun,Midfielder,Celtic
South Korea,Jo Hyeon-woo,Goalkeeper,Ulsan HD
South Korea,Seol Young-woo,Defender,Red Star Belgrade
South Korea,Jens Castrop,Defender,Borussia Mönchengladbach
South Korea,Kim Jin-gyu,Midfielder,Jeonbuk Hyundai Motors
South Korea,Eom Ji-sung,Midfielder,Swansea City
South Korea,Lee Dong-gyeong,Midfielder,Ulsan HD
